candidate_id,unit_id,label,feature,value,surface,source_field,span_start,span_end,evidence,rule,status,normalization_status,source_sha256,extractor,authority_sha256
afe82d38e904009fae1a6087c85300742df81f19214d0ff837dcd2c8d9579799,R142_0002,PER,actors,Zuanne Federici,Zuanne Federici,text_diplomatic,90,105,"supplica alla s.tà vostra da me Nadal, Antonio et Zuanne Federici Bergamaschi del q. m. Piero, per la qual ricercav",NER_person_name,pending_expert_validation,unresolved,be1400b2100cca380ef3469654415f48db04a8ea46b3c8792a3b73de3bb6643a,rules-ner-1,aab4bde042c44e48e5dd7eaaf862d97e6b82c4fbcf48b269781a4312bdbcda6c
335491def4a64353362e7c0cb801b48906b3c759dba2baf1825dac152f56fff2,R142_0002,ORG,institutional_terms,Proveditori di Commun,Prov.ri di Commun,text_diplomatic,280,297,"ssa la riformatione, et risposta alli Cl.mi ss.ri Prov.ri di Commun et cinque savij alla m.tia, in tempo, che in dett",NER_authority,pending_expert_validation,proposed,be1400b2100cca380ef3469654415f48db04a8ea46b3c8792a3b73de3bb6643a,rules-ner-1,aab4bde042c44e48e5dd7eaaf862d97e6b82c4fbcf48b269781a4312bdbcda6c
fde4fe78f51bf2a58a261a2ef0706e2d62788190678c1320028c44421bc82c75,R142_0002,ORG,institutional_terms,Proveditori di Commun,Prov.ri di Commun,text_diplomatic,1995,2012," li diro anco, che questi nell’officio di signori Prov.ri di Commun hanno fatto far certo essame di testimonij di hav",NER_authority,pending_expert_validation,proposed,be1400b2100cca380ef3469654415f48db04a8ea46b3c8792a3b73de3bb6643a,rules-ner-1,aab4bde042c44e48e5dd7eaaf862d97e6b82c4fbcf48b269781a4312bdbcda6c
c41d0ef5e9668a650f8956a69702654261ef8d2fadbe32d202014feca2af949c,R142_0002,ORG,institutional_terms,Proveditori di Commun,Proveditori di Commun,text_diplomatic,3186,3207," hanno fatto admetter un capitolo nell’officio di Proveditori di Commun, intendendo di giustificar, che il q. suo Padre e",NER_authority,pending_expert_validation,proposed,be1400b2100cca380ef3469654415f48db04a8ea46b3c8792a3b73de3bb6643a,rules-ner-1,aab4bde042c44e48e5dd7eaaf862d97e6b82c4fbcf48b269781a4312bdbcda6c
a1e01a70a3982c0e1000b567b9fb28ce9aebd7d131cd7c1fd6815752370ccbd6,R142_0002,PER,actors,Zuanne Fedrici,Zuanne Fedrici,text_diplomatic,3531,3545,"elle conditioni, et pagamenti si haveria nominato Zuanne Fedrici et fratelli, et non in quela maniera, come per li",NER_person_name,pending_expert_validation,unresolved,be1400b2100cca380ef3469654415f48db04a8ea46b3c8792a3b73de3bb6643a,rules-ner-1,aab4bde042c44e48e5dd7eaaf862d97e6b82c4fbcf48b269781a4312bdbcda6c
e477ed29eddb0df2b6aaaeec1934caf390736b7cbde7771dc3f4639d66da33cd,R142_0002,ORG,institutional_terms,Proveditori di Commun,Proveditori di Commun,text_diplomatic,4370,4391,"ligente processo et fu fatto retenir uno fante di Proveditori di Commun, et havendosi rappresentato il tutto alli Ill.mi ",NER_authority,pending_expert_validation,proposed,be1400b2100cca380ef3469654415f48db04a8ea46b3c8792a3b73de3bb6643a,rules-ner-1,aab4bde042c44e48e5dd7eaaf862d97e6b82c4fbcf48b269781a4312bdbcda6c
09f54eb5e1363a0088f092a90005475179ea02d9c2b0940a5fcdae0190c62acd,R142_0002,PER,actors,Francesco Turrin,Francesco Turrin,text_diplomatic,4803,4819,"retentione del priggion, et presa la retention di Francesco Turrin ministro di ss.ri Gov.ri delle Intrade et di Hier",NER_person_name,pending_expert_validation,unresolved,be1400b2100cca380ef3469654415f48db04a8ea46b3c8792a3b73de3bb6643a,rules-ner-1,aab4bde042c44e48e5dd7eaaf862d97e6b82c4fbcf48b269781a4312bdbcda6c
64b64b22904902a199e46a0f1358db6e062c1545b9b573414b6efa49e908a773,R142_0002,PER,actors,Francesco Turrin,Francesco Turrin,text_diplomatic,4972,4988,"ati restorno absenti, et sotto li 10 ottobre 1605 Francesco Turrin fu in perpetuo bandito di tutte terre, et luoghi,",NER_person_name,pending_expert_validation,unresolved,be1400b2100cca380ef3469654415f48db04a8ea46b3c8792a3b73de3bb6643a,rules-ner-1,aab4bde042c44e48e5dd7eaaf862d97e6b82c4fbcf48b269781a4312bdbcda6c
b6d7f443efd21bea49ec219510544221f733bb7558001d2a85a0dea77293f352,R142_0002,PER,actors,Zuanne Federici,Zuanne Federici,marginal_note_raw,28,43,"Civiltà di Nadal, Antonio e Zuanne Federici",NER_person_name,pending_expert_validation,unresolved,54d5eebd4c4714d51960b182d9cfe15d34ae36669aca32fd19bb8376cb162b6a,rules-ner-1,aab4bde042c44e48e5dd7eaaf862d97e6b82c4fbcf48b269781a4312bdbcda6c
823b62b5e3dc36b6fe80e3ec7cc961f219c7c5be31ab06c89056b1c28a0c4e44,R142_0002,PER,actors,Marco da Riva,Sier Marco da Riva,signatories_raw,0,18,Sier Marco da Riva,NER_authority,pending_expert_validation,proposed,a8830361d8ada88450b66f5a8033161409835206f1e6686a8aa2e3ca6406704a,rules-ner-1,aab4bde042c44e48e5dd7eaaf862d97e6b82c4fbcf48b269781a4312bdbcda6c
